Дата / Дата / Дата / Дата / Дата / 1,Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / 2 = 4 - 9 + 13 - 14 + 15,Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / 3 = 4 - 9 + 13,в том числе / стандартные инструменты денежно-кредитной политики / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / 4 = 5 + 6 + 7 + 8,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / репо и «валютный своп»** / 5,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / обеспеченные кредиты / 6,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / репо и «валютный своп»** / 7,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / обеспеченные кредиты / 8,в том числе / стандартные инструменты денежно-кредитной политики / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / 9 = 10 + 11 + 12,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / аукционы / 10,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / операции постоянного действия / 11,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / КОБР / КОБР / 12,"в том числе / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / 13",Справочно: / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / 14,"Справочно: / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / 15"
27.04.2026,"1 550,9","1 716,8","5 056,6","4 492,9",0,0,5637,"3 580,2",0,"3 580,2",0,2404,"5 481,5","5 315,5"
24.04.2026,1 342,"1 346,2","4 760,6","4 492,9",0,0,2677,"3 655,4",0,"3 655,4",0,241,"5 319,7","5 315,5"
23.04.2026,"1 374,5","1 304,2","4 760,6","4 492,9",0,0,2677,"3 698,5",0,"3 698,5",0,2421,"5 245,3","5 315,5"
22.04.2026,"1 325,3","1 188,1","4 610,1","4 342,4",0,0,2677,"3 670,2",0,"3 670,2",0,2482,"5 178,3","5 315,5"
21.04.2026,"1 268,1","1 195,4","4 610,2","4 342,5",0,0,2677,"3 662,9",0,"3 662,9",0,2481,"5 242,8","5 315,5"
20.04.2026,"1 347,9","1 225,5","4 610,2","4 342,5",0,0,2677,"3 633,4",0,"3 633,4",0,2487,5 193,"5 315,5"
19.04.2026,"1 340,4","1 225,5","4 610,2","4 342,5",0,0,2677,"3 633,4",0,"3 633,4",0,2487,"5 200,6","5 315,5"
17.04.2026,"1 280,5",1 196,"4 610,2","4 342,5",0,0,2677,"3 665,9",0,"3 665,9",0,2518,5 231,"5 315,5"
16.04.2026,"1 128,4","1 198,4","4 610,2","4 342,5",0,0,2677,"3 671,7",0,"3 671,7",0,2599,"5 385,5","5 315,5"
15.04.2026,"1 086,2","2 045,7","5 715,3","4 932,6",0,0,7827,"3 933,2",0,"3 933,2",0,2636,"6 260,9","5 301,4"
14.04.2026,"1 100,5","1 815,6","5 184,8","4 623,1",0,0,5617,"3 647,3",0,"3 647,3",0,2781,"6 016,4","5 301,4"
13.04.2026,1 166,1 733,"5 017,3","4 623,1",0,0,3942,"3 602,7",0,"3 602,7",0,3185,"5 868,4","5 301,4"
10.04.2026,"1 077,9",1 529,"4 837,5","4 623,3",0,0,2142,"3 601,6",0,"3 601,6",0,2931,"5 752,4","5 301,4"
09.04.2026,"1 032,2",1 504,"4 837,5","4 623,3",0,0,2142,"3 626,6",0,"3 626,6",0,2931,"5 773,2","5 301,4"
08.04.2026,"1 026,6","1 046,6","4 444,9","4 230,7",0,0,2142,"3 646,7",0,"3 646,7",0,2484,"5 321,4","5 301,4"
07.04.2026,8832,"1 028,5","4 490,2",4 232,0,0,2582,3 710,0,3 710,0,2483,"5 446,8","5 301,4"
06.04.2026,9392,"1 109,2","4 520,4","4 232,2",0,0,2882,"3 659,3",0,"3 659,3",0,2481,"5 471,4","5 301,4"
03.04.2026,7861,"1 063,3","4 490,4","4 232,2",0,0,2582,"3 675,3",0,"3 675,3",0,2483,"5 578,6","5 301,4"
02.04.2026,7416,"1 067,8","4 496,4","4 232,2",0,0,2642,3 677,0,3 677,0,2484,"5 627,6","5 301,4"
01.04.2026,6793,9932,"4 375,3","4 101,5",0,0,2738,"3 730,4",0,"3 730,4",0,3484,"5 615,3","5 301,4"
31.03.2026,671,9686,"4 443,5","4 101,7",0,0,3418,"3 723,2",0,"3 723,2",0,2482,5 599,"5 301,4"
30.03.2026,8151,9037,"4 493,4","4 101,7",0,0,3917,"3 833,1",0,"3 833,1",0,2434,5 390,"5 301,4"
27.03.2026,7055,8683,"4 445,4","4 101,7",0,0,3437,"3 825,5",0,"3 825,5",0,2484,"5 464,1","5 301,4"
26.03.2026,7014,9374,"4 569,5","4 101,8",0,0,4677,"3 852,6",0,"3 852,6",0,2205,"5 537,4","5 301,4"
25.03.2026,6216,1 049,"4 700,3","4 190,5",0,521,4577,"3 860,5",0,"3 860,5",0,2092,"5 728,8","5 301,4"
24.03.2026,6802,"1 067,5","4 699,8","4 191,3",0,308,4777,"3 868,5",0,"3 868,5",0,2362,"5 688,7","5 301,4"
23.03.2026,8269,8675,"4 569,8","4 191,3",0,308,3477,"3 940,7",0,"3 940,7",0,2384,5 342,"5 301,4"
20.03.2026,7964,6578,"4 481,1","4 192,4",0,41,2477,"4 012,2",0,"4 012,2",0,1889,"5 162,8","5 301,4"
19.03.2026,7558,4316,4 282,"4 192,4",0,54,842,4 035,0,4 035,0,1845,"4 977,1","5 301,4"
18.03.2026,6931,-551,"3 760,4","3 670,9",0,5,845,"3 996,3",0,"3 996,3",0,1808,"4 553,2","5 301,4"
17.03.2026,7144,467,"3 825,4","3 670,9",0,0,1545,"3 981,9",0,"3 981,9",0,2032,"4 633,7","5 301,4"
16.03.2026,8053,2224,"3 922,2","3 670,9",0,19,2495,"3 922,1",0,"3 922,1",0,2222,"4 718,5","5 301,4"
13.03.2026,7908,4141,"3 794,2","3 670,9",0,18,1215,"3 610,6",0,"3 610,6",0,2305,"4 924,7","5 301,4"
12.03.2026,6813,5303,"3 855,4","3 670,9",0,0,1845,"3 557,2",0,"3 557,2",0,2321,"5 150,3","5 301,4"
11.03.2026,6389,"3 188,9","6 614,6","6 080,1",0,0,5345,"3 663,9",0,"3 663,9",0,2382,"7 892,2","5 342,2"
10.03.2026,6826,2537,3 535,"2 998,8",0,167,5195,"3 521,2",0,"3 521,2",0,2399,"4 913,3","5 342,2"
09.03.2026,6763,272,"3 518,5","2 998,9",0,01,5195,"3 486,4",0,"3 486,4",0,2399,"4 937,9","5 342,2"
06.03.2026,4878,2343,"3 428,4","2 998,9",0,0,4295,"3 420,8",0,"3 420,8",0,2267,"5 088,7","5 342,2"
05.03.2026,4639,3604,"3 638,4","2 998,9",0,0,6395,"3 517,8",0,"3 517,8",0,2398,"5 238,6","5 342,2"
04.03.2026,3398,591,"3 788,3","3 198,8",0,0,5895,"3 424,2",0,"3 424,2",0,227,"5 593,4","5 342,2"
03.03.2026,2895,6268,"3 896,2","3 199,2",0,0,697,"3 508,4",0,"3 508,4",0,2391,"5 679,5","5 342,2"
02.03.2026,3766,6761,"3 891,2","3 199,2",0,01,692,"3 509,1",0,"3 509,1",0,294,"5 641,6","5 342,2"
27.02.2026,2485,4698,3 724,"3 199,5",0,0,5245,"3 531,8",0,"3 531,8",0,2776,"5 563,5","5 342,2"
26.02.2026,3145,6063,"3 902,5","3 199,5",0,0,703,"3 538,2",0,"3 538,2",0,2421,5 634,"5 342,2"
25.02.2026,276,5358,"3 857,4","3 168,4",0,0,689,"3 558,7",0,"3 558,7",0,2371,5 602,"5 342,2"
24.02.2026,2234,1952,3 497,3 169,0,0,328,"3 537,4",0,"3 537,4",0,2356,5 314,"5 342,2"
20.02.2026,1825,2511,"3 610,4","3 169,4",0,0,441,3 549,0,3 549,0,1897,"5 410,7","5 342,2"
19.02.2026,2263,4222,"3 814,4","3 169,4",0,0,645,"3 581,9",0,"3 581,9",0,1897,"5 538,1","5 342,2"
18.02.2026,1656,5434,"3 842,9","3 239,9",0,0,603,"3 530,1",0,"3 530,1",0,2306,5 720,"5 342,2"
17.02.2026,1496,5794,"3 902,9","3 239,9",0,0,663,"3 512,6",0,"3 512,6",0,1891,5 772,"5 342,2"
16.02.2026,2218,1159,"3 536,9","3 239,9",0,0,297,"3 610,9",0,"3 610,9",0,1899,"5 236,3","5 342,2"
13.02.2026,1607,-717,"3 292,8","3 239,9",0,159,37,"3 604,7",0,"3 604,7",0,2402,"5 109,8","5 342,2"
12.02.2026,1445,-647,"3 301,3","3 239,9",0,244,37,"3 607,9",0,"3 607,9",0,2419,5 133,"5 342,2"
11.02.2026,1445,9447,"4 665,7","4 216,9",0,0,4488,"3 923,1",0,"3 923,1",0,202,"6 114,5","5 314,3"
10.02.2026,1494,-6743,"2 883,8","2 766,8",0,0,117,"3 797,4",0,"3 797,4",0,2393,"4 490,6","5 314,3"
09.02.2026,154,-5658,"2 808,5","2 768,5",0,3,37,"3 639,5",0,"3 639,5",0,2653,"4 594,6","5 314,3"
06.02.2026,03,-4233,"2 808,5","2 768,5",0,3,37,"3 437,6",0,"3 437,6",0,2059,"4 890,7","5 314,3"
05.02.2026,158,-351,"2 922,7","2 768,5",0,22,152,"3 541,7",0,"3 541,7",0,268,"4 947,5","5 314,3"
04.02.2026,-556,9076,"4 111,5","3 390,4",0,3231,398,"3 452,6",0,"3 452,6",0,2488,"6 277,5","5 314,3"
03.02.2026,-415,9942,"4 129,2","3 390,4",0,3257,413,"3 407,5",0,"3 407,5",0,2726,6 350,"5 314,3"
02.02.2026,138,1 008,4 137,"3 390,4",0,3284,4182,"3 458,6",0,"3 458,6",0,3296,"6 308,5","5 314,3"
