period,type,start,end,mean_lsi,max_lsi,mean_ml_lsi,max_ml_lsi,pct_stress_days,days
december_2014,calibration,2014-12-01,2014-12-31,39.817036692434385,87.09447656640162,76.57429175787247,93.20758008626872,22.58064516129032,31
feb_march_2022,calibration,2022-02-01,2022-03-31,36.873760579779976,100.0,59.70126431986409,90.67164975243574,23.728813559322035,59
august_2023,calibration,2023-08-01,2023-09-15,31.51788269692037,100.0,80.6706676764406,94.21575116616576,17.391304347826086,46
holdout_2024_2025,holdout_validation,2024-01-01,2025-12-31,28.374365155891766,100.0,31.9769077556155,77.91451402500846,15.45827633378933,731
